Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2015-01-09 14:57:53.185 +0100,"Success",0:02:45,0,1,0,"20150109_145753.185/LogFile.txt","","",1
2015-01-16 10:03:05.144 +0100,"Failure",0:00:00,1,0,1,"20150116_100305.144/LogFile.txt","","Error Running Script Command -- runwithnewresults Error - Unable to locate script named: Add cover&pics",0
