Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2014-12-23 10:06:11.799 +0100,"Running",-2147483648:-2147483648:-8,0,0,0,"20141223_100611.799/LogFile.txt","","",0
2014-12-23 10:06:22.581 +0100,"Running",-2147483648:-2147483648:-8,0,0,0,"20141223_100622.581/LogFile.txt","","",0
2014-12-23 10:06:33.301 +0100,"Success",0:00:02,0,0,0,"20141223_100633.301/LogFile.txt","","",1
